# Source File: event_5672563_fa2a52e3-2d82-455d-8ff3-dbdb28f453da.gsdata
# Data Type:   GS Data
# Record Count: 2100
# Format: dateTime (epoch ms), dateTime (UTC ISO), x, y, z
dateTime,dateTimeISO,x,y,z
1787485581570,2026-08-23T11:46:21.570Z,48,-20,878
1787485581580,2026-08-23T11:46:21.580Z,48,-20,878
1787485581590,2026-08-23T11:46:21.590Z,115,27,1006
1787485581600,2026-08-23T11:46:21.600Z,116,38,1036
1787485581610,2026-08-23T11:46:21.610Z,128,-7,1058
1787485581620,2026-08-23T11:46:21.620Z,168,-52,951
1787485581630,2026-08-23T11:46:21.630Z,35,-47,739
1787485581640,2026-08-23T11:46:21.640Z,15,-27,742
1787485581650,2026-08-23T11:46:21.650Z,22,-18,808
1787485581660,2026-08-23T11:46:21.660Z,8,-3,950
1787485581670,2026-08-23T11:46:21.670Z,124,12,1027
1787485581680,2026-08-23T11:46:21.680Z,124,12,1027
1787485581690,2026-08-23T11:46:21.690Z,105,-19,851
1787485581700,2026-08-23T11:46:21.700Z,105,-19,851
1787485581710,2026-08-23T11:46:21.710Z,-41,-17,732
1787485581720,2026-08-23T11:46:21.720Z,-32,-3,887
1787485581730,2026-08-23T11:46:21.730Z,-32,-3,887
1787485581740,2026-08-23T11:46:21.740Z,-23,13,1081
1787485581750,2026-08-23T11:46:21.750Z,-69,-50,1074
1787485581760,2026-08-23T11:46:21.760Z,-69,-50,1074
1787485581770,2026-08-23T11:46:21.770Z,97,-33,1044
1787485581780,2026-08-23T11:46:21.780Z,2,12,836
1787485581790,2026-08-23T11:46:21.790Z,87,31,919
1787485581800,2026-08-23T11:46:21.800Z,87,31,919
1787485581810,2026-08-23T11:46:21.810Z,175,-15,1160
1787485581820,2026-08-23T11:46:21.820Z,175,-15,1160
1787485581830,2026-08-23T11:46:21.830Z,103,-26,1018
1787485581840,2026-08-23T11:46:21.840Z,124,-23,949
1787485581850,2026-08-23T11:46:21.850Z,9,-38,872
1787485581860,2026-08-23T11:46:21.860Z,89,18,940
1787485581870,2026-08-23T11:46:21.870Z,94,20,1044
1787485581880,2026-08-23T11:46:21.880Z,154,-4,1127
1787485581890,2026-08-23T11:46:21.890Z,22,-6,1116
1787485581900,2026-08-23T11:46:21.900Z,49,30,1078
1787485581910,2026-08-23T11:46:21.910Z,26,1,976
1787485581920,2026-08-23T11:46:21.920Z,80,-14,916
1787485581930,2026-08-23T11:46:21.930Z,145,10,962
1787485581940,2026-08-23T11:46:21.940Z,145,10,962
1787485581950,2026-08-23T11:46:21.950Z,155,20,1075
1787485581960,2026-08-23T11:46:21.960Z,252,7,1210
1787485581970,2026-08-23T11:46:21.970Z,77,37,1125
1787485581980,2026-08-23T11:46:21.980Z,6,24,955
1787485581990,2026-08-23T11:46:21.990Z,6,24,955
1787485582000,2026-08-23T11:46:22.000Z,-24,-13,965
1787485582010,2026-08-23T11:46:22.010Z,50,-64,1078
1787485582020,2026-08-23T11:46:22.020Z,70,-63,1021
1787485582030,2026-08-23T11:46:22.030Z,184,-66,1043
1787485582040,2026-08-23T11:46:22.040Z,184,-66,1043
1787485582050,2026-08-23T11:46:22.050Z,111,-26,996
1787485582060,2026-08-23T11:46:22.060Z,-37,8,921
1787485582070,2026-08-23T11:46:22.070Z,2,12,964
1787485582080,2026-08-23T11:46:22.080Z,2,12,964
1787485582090,2026-08-23T11:46:22.090Z,36,20,1039
1787485582100,2026-08-23T11:46:22.100Z,-27,9,887
1787485582110,2026-08-23T11:46:22.110Z,22,-33,955
1787485582120,2026-08-23T11:46:22.120Z,22,-33,955
1787485582130,2026-08-23T11:46:22.130Z,31,-40,979
1787485582140,2026-08-23T11:46:22.140Z,-14,-80,884
1787485582150,2026-08-23T11:46:22.150Z,111,-45,939
1787485582160,2026-08-23T11:46:22.160Z,48,-34,895
1787485582170,2026-08-23T11:46:22.170Z,158,28,930
1787485582180,2026-08-23T11:46:22.180Z,108,29,875
1787485582190,2026-08-23T11:46:22.190Z,118,8,941
1787485582200,2026-08-23T11:46:22.200Z,77,5,977
1787485582210,2026-08-23T11:46:22.210Z,52,-38,992
1787485582220,2026-08-23T11:46:22.220Z,-38,-70,952
1787485582230,2026-08-23T11:46:22.230Z,88,-67,1015
1787485582240,2026-08-23T11:46:22.240Z,-125,-69,991
1787485582250,2026-08-23T11:46:22.250Z,28,-20,1084
1787485582260,2026-08-23T11:46:22.260Z,-6,-14,1083
1787485582270,2026-08-23T11:46:22.270Z,-14,20,1076
1787485582280,2026-08-23T11:46:22.280Z,-14,20,1076
1787485582290,2026-08-23T11:46:22.290Z,76,39,1080
1787485582300,2026-08-23T11:46:22.300Z,156,-4,1086
1787485582310,2026-08-23T11:46:22.310Z,73,-14,1015
1787485582320,2026-08-23T11:46:22.320Z,36,-55,998
1787485582330,2026-08-23T11:46:22.330Z,29,-29,966
1787485582340,2026-08-23T11:46:22.340Z,55,-49,1015
1787485582350,2026-08-23T11:46:22.350Z,147,-45,1085
1787485582360,2026-08-23T11:46:22.360Z,25,-23,1035
1787485582370,2026-08-23T11:46:22.370Z,56,6,969
1787485582380,2026-08-23T11:46:22.380Z,174,6,965
1787485582390,2026-08-23T11:46:22.390Z,101,-26,873
1787485582400,2026-08-23T11:46:22.400Z,118,-55,888
1787485582410,2026-08-23T11:46:22.410Z,145,-34,920
1787485582420,2026-08-23T11:46:22.420Z,91,-38,984
1787485582430,2026-08-23T11:46:22.430Z,215,-16,1100
1787485582440,2026-08-23T11:46:22.440Z,114,-15,1040
1787485582450,2026-08-23T11:46:22.450Z,37,24,939
1787485582460,2026-08-23T11:46:22.460Z,77,47,927
1787485582470,2026-08-23T11:46:22.470Z,32,39,987
1787485582480,2026-08-23T11:46:22.480Z,32,39,987
1787485582490,2026-08-23T11:46:22.490Z,30,9,1004
1787485582500,2026-08-23T11:46:22.500Z,4,-52,1041
1787485582510,2026-08-23T11:46:22.510Z,69,-87,1106
1787485582520,2026-08-23T11:46:22.520Z,108,-100,1031
1787485582530,2026-08-23T11:46:22.530Z,88,-63,878
1787485582540,2026-08-23T11:46:22.540Z,67,-8,908
1787485582550,2026-08-23T11:46:22.550Z,42,38,966
1787485582560,2026-08-23T11:46:22.560Z,61,9,981
1787485582570,2026-08-23T11:46:22.570Z,80,3,985
1787485582580,2026-08-23T11:46:22.580Z,0,-31,960
1787485582590,2026-08-23T11:46:22.590Z,-45,-65,981
1787485582600,2026-08-23T11:46:22.600Z,-48,-55,993
1787485582610,2026-08-23T11:46:22.610Z,98,2,1058
1787485582620,2026-08-23T11:46:22.620Z,98,2,1058
1787485582630,2026-08-23T11:46:22.630Z,-101,-8,981
1787485582640,2026-08-23T11:46:22.640Z,47,-6,974
1787485582650,2026-08-23T11:46:22.650Z,45,-17,950
